Date,Close/Last,Volume,Open,High,Low
05/18/2021,$116.92,1982562,$119.51,$120.145,$116.78
05/17/2021,$120.11,1403738,$120.59,$121.56,$119.03
05/14/2021,$120.39,1691293,$119.60,$120.905,$118.97
05/13/2021,$119.00,1706262,$117.06,$119.65,$117.06
05/12/2021,$116.15,2158221,$121.01,$121.20,$115.67
05/11/2021,$121.67,2044846,$123.95,$123.96,$120.01
05/10/2021,$125.79,3980393,$122.56,$128.575,$122.03
05/07/2021,$122.34,1764030,$120.03,$122.59,$119.56
05/06/2021,$120.04,2293554,$117.47,$120.22,$116.89
05/05/2021,$116.38,924937,$118.35,$118.49,$116.07
05/04/2021,$117.73,1330307,$117.32,$117.80,$116.15
05/03/2021,$117.47,1507740,$117.37,$119.18,$116.9878
04/30/2021,$116.27,1633849,$117.51,$117.66,$115.7907
04/29/2021,$118.29,1274410,$117.73,$118.785,$117.07
04/28/2021,$117.19,1190431,$118.77,$119.45,$117.03
04/27/2021,$118.35,1355305,$117.45,$119.275,$117.00
04/26/2021,$117.02,2275740,$117.51,$117.625,$114.38
04/23/2021,$117.74,1547803,$118.17,$118.31,$116.53
04/22/2021,$118.04,2405443,$119.20,$120.92,$117.75
04/21/2021,$118.97,1509417,$118.81,$119.77,$118.17
04/20/2021,$118.45,1750384,$118.80,$119.2047,$116.51
04/19/2021,$118.84,2912640,$120.35,$120.65,$117.85
04/16/2021,$119.87,1845117,$119.93,$120.13,$117.99
04/15/2021,$119.30,1453870,$120.91,$121.42,$119.0401
04/14/2021,$120.17,1525686,$120.55,$121.34,$119.42
04/13/2021,$120.82,2449617,$121.87,$121.87,$119.25
04/12/2021,$121.56,2394478,$122.30,$123.87,$121.20
04/09/2021,$122.48,2126799,$120.06,$122.83,$119.63
04/08/2021,$119.62,1776773,$120.91,$120.9899,$119.11
04/07/2021,$120.59,2502827,$120.50,$121.73,$118.51
04/06/2021,$120.74,3604147,$117.94,$121.70,$117.55
04/05/2021,$117.99,1641946,$116.31,$118.475,$115.70
04/01/2021,$115.76,2486520,$115.94,$116.30,$114.01
03/31/2021,$114.81,1938988,$116.31,$116.31,$114.23
03/30/2021,$115.72,1934061,$114.19,$116.055,$113.34
03/29/2021,$114.80,2598410,$119.45,$120.09,$114.52
03/26/2021,$119.26,1872814,$116.55,$119.35,$116.18
03/25/2021,$116.18,2250687,$114.43,$116.52,$113.44
03/24/2021,$114.32,2883992,$119.10,$119.50,$114.22
03/23/2021,$118.81,3663054,$120.65,$121.38,$118.24
03/22/2021,$120.96,2809867,$118.10,$121.285,$117.11
03/19/2021,$118.19,9098446,$113.83,$120.29,$113.6768
03/18/2021,$113.38,2906572,$111.61,$116.26,$111.31
03/17/2021,$112.25,2584396,$112.16,$112.85,$109.98
03/16/2021,$113.45,2328194,$113.66,$114.46,$112.70
03/15/2021,$113.92,3347188,$111.49,$114.59,$111.25
03/12/2021,$110.99,1963080,$108.95,$111.29,$107.80
03/11/2021,$108.58,2407275,$108.64,$109.44,$107.47
03/10/2021,$108.15,3175770,$107.45,$109.48,$106.62
03/09/2021,$105.82,3294996,$106.55,$109.64,$105.65
03/08/2021,$106.57,3830841,$103.29,$107.415,$102.73
03/05/2021,$102.85,5128100,$99.61,$103.20,$97.285
03/04/2021,$98.24,4288709,$99.74,$100.41,$95.93
03/03/2021,$100.37,2848834,$102.37,$102.73,$100.00
03/02/2021,$102.52,3011692,$102.12,$103.75,$101.4601
03/01/2021,$101.69,3709209,$100.50,$102.59,$100.50
02/26/2021,$100.35,4570055,$101.10,$102.36,$99.79
02/25/2021,$102.94,10053660,$103.82,$112.30,$101.46
02/24/2021,$113.46,3279761,$116.10,$117.14,$112.70
02/23/2021,$115.50,2198416,$115.85,$115.886,$113.13
02/22/2021,$116.73,1742940,$117.11,$118.20,$115.8981
02/19/2021,$118.00,2044450,$117.63,$119.02,$117.43
02/18/2021,$116.76,1890521,$117.89,$118.45,$116.42
02/17/2021,$118.34,2242046,$120.19,$122.21,$118.22
02/16/2021,$120.75,1880185,$120.53,$123.30,$120.49
02/12/2021,$120.51,1858078,$118.71,$121.125,$118.50
02/11/2021,$119.59,1636075,$119.00,$120.94,$118.57
02/10/2021,$118.81,1274888,$118.79,$119.29,$116.99
02/09/2021,$118.46,1528206,$117.83,$119.37,$116.74
02/08/2021,$117.90,1715093,$115.00,$117.96,$114.98
02/05/2021,$114.53,1632937,$114.20,$114.90,$113.3417
02/04/2021,$113.84,2421960,$112.64,$114.76,$112.01
02/03/2021,$110.32,1503510,$109.36,$111.16,$108.85
02/02/2021,$108.78,2530444,$107.95,$110.93,$106.64
02/01/2021,$107.69,2706876,$109.45,$110.00,$105.66
01/29/2021,$108.82,2481444,$112.11,$112.39,$108.37
01/28/2021,$112.31,2429896,$113.53,$116.563,$112.25
01/27/2021,$113.57,2445861,$113.54,$116.23,$112.8305
01/26/2021,$114.70,2140626,$114.15,$115.505,$113.01
01/25/2021,$113.74,2250110,$114.78,$117.98,$113.45
01/22/2021,$114.93,1619709,$114.13,$115.35,$112.37
01/21/2021,$114.50,2599803,$113.09,$116.02,$112.28
01/20/2021,$112.23,1929671,$112.16,$112.65,$110.785
01/19/2021,$111.62,2630748,$115.00,$115.00,$111.16
01/15/2021,$114.00,3123286,$113.64,$115.75,$111.59
01/14/2021,$113.92,1966336,$113.35,$115.22,$113.0245
01/13/2021,$113.22,2986841,$114.42,$115.07,$113.13
